title,description,release_date
"Forests, Fields and Fortresses","Forests, Fields and Fortresses is a mix of a puzzle and a board game in which you have to build your kingdom. Try on the role of a ruler, piece together your lands and ensure the prosperity of your people. Two game modes will be available to you, each with its own unique gameplay: Puzzle Mode . Manually created levels with a small number of pieces of territory. Your goal is to place them in such a way as to earn the required amount of Gold. Adventure Mode . Start the game with a randomly created field and an endless supply of pieces of territory. Earn enough Gold before the playing field is full to successfully complete the game season and move on to the next one. Unlock new Spells, Game Events and Starting Locality Types to diversify your playthroughs. ","Apr 5, 2023"
DogDogDog,"DogDogDog' is a horror adventure game set in modern times. ◆ Story Recently, you have been feeling like someone is stalking you. Every day, you feel anxious, sensing eyes and hearing noises all around you. Suddenly, you remember the pet dog you used to have. And then, you encounter a 'DOG'... Yet life goes on. ◆ Game Features - A walking simulator where various events occur as you walk. - Progress the story by examining objects. - There are no quest markers or time limits, allowing for relaxed gameplay. - Experience occasional terror from the appearance of dogs. Playtime: 10 to 30 minutes ◆ Streaming Guidelines - Streaming is possible without permission for individuals and companies alike.","Apr 19, 2024"
Redline,"Join the Company! It's 2066 and the world is a different place. While the privileged insiders live in fertile domed cities, the rest of us fight for survival in the wastelands. Rival gangs battle for supremacy, turf control and valuable resources. In order for a young man to succeed he must make the right choices about his future. That's why you want to join the Company. It's on you, rookie. We think you've got the skills, but do you have the guts to go up against the worst maniacs from the lepers, the templars, and the red sixers gangs? We'll give you a piece, a rig, and let you try and prove yourself. No guarantees, but if you pull this off you might have what it takes to be one of us.... Game Features: Vehicular and on-foot combat - in and out of cars ANYTIME during gameplay Earth-shaking explosions and special effects 12 deep missions featuring stealth, assassinations, hostage rescues and sabotage Massively destructible worlds Car-jack enemy vehicles Optimized for leading 3D cards and Direct 3D. Includes Soundtrack in both FLAC and MP3 formats. ","Oct 23, 2014"
Midnight Dash,"Story! The game tells you a story about Sean who gets lost from home and tries to find hes way back. While trying to find a way back Sean meets a magical light source Piu who agrees to help you but on one condition.. You help him to find something that he had lost. Help Sean and Piu to reach their goals in this difficult adventure! Cool stuff • A intensive single-player adventure, with a lot of cool characters and difficult levels. • Game of hardcore platforming challenges and amazing secrets. • Brutal Bonus levels that can be accessed from the main menu. Built for the hardcore gamers. • Fun and catchy music. • Inbuilt speedrun timer and death counter. • Local co-op levels. The controls are simple and easy to understand. You can jump, air-dash, slide, attack and even fly! Also Piu will help you light up the path in some levels. Have fun helping Sean and Piu in this difficult adventure!","Jan 9, 2023"
Fantasy Amusement Park,"【Game Storyline】 The amusement park in the middle of the night is full of strange urban legends. But when the group chairman's daughter, the Taoist lady, the nun, and the fox-eared girl stand in front of you at the same time to seek help, who will your body honestly choose?As the duty of the beater, you always have to make your own choice. No matter who the outcome is, this will change your life. 'Wait, do they all like COSPLAY these days?' 【Game Characters】 [bMiss, the daughter of Chairman of Group A, who has been following her father's business knowledge since she was young, is the future successor of the business empire.[/b] One of the youngest of the demon fox family, an untouched and spoiled young princess. She is the excellent demon removal nun, a more frightening presence than the ghosts and monsters. [/b]There are more mysterious bosses in the amusement park waiting for you to explore.[/b] 【Game Features】 ◇All female characters are dubbed in Japanese ◇10 female characters can be navigated ◇29 high-quality dynamic 4K HCG ◇16 story cg ◇One-handed operation for a smooth experience ◇Now supports steamdeck touch screen operation and play ◇Character dressing + character live2d interaction ","Jul 28, 2023"
Black Market,"Black Market is an item shop simulator where you are a shopkeeper that pawns items and strikes deals with your villainous customers in order to make rent. It’s a cutthroat world out there. Controls: - WASD or Arrow Keys to Navigate - Hit E key or Enter to Submit or Progress Dialogue - Escape Key will bring up an options menu - Alt + Enter to toggle fullscreen Commands: [Talk] - You talk. Do it sometimes! [Inventory] - Opens your inventory, including money and guards [Deal] - Automatically trade with a villain, only works if you have exactly what they want [Hire] - You pay money so the villain protects your shop for one night. Hiring two characters for one night is a waste of a money! [Barter] - Choose any number of items to trade with a villain. Careful, if you offer them something they don't like, they will be take their business elsewhere. [Reject] - Refuse a villain's business ","Jan 24, 2025"
Evertried,"Every Move Matters' In Evertried, the player’s actions dictate when enemy units move. In other words, everything moves after you. The game plays out as fast or methodical as you want, featuring a free-flowing turn-based action combat system. Alternating between moving, attacking, using your dash, skills and luring enemies into hazards is the key to success. You are the one that decides the pacing of Evertried. Learn to think ahead. Develop intricate strategies to outmaneuver your opponents and follow your path to ascension! Test Your Strategic Might Hitting or defeating enemies in succession increases your Focus Level, which determines the shards you receive and unlocks special powers called Modifiers. The Focus Level goes down when you are idle or just moving, so there is incentive to keep up the action. Luring enemies to traps and getting hit by hazards will also affect the gauge, adding to the strategy. Outsmart Enemies with Dashes and Skills Moving strategically and attacking is vital. Close the gap with a Dash -- a mechanic that allows you to move twice the distance and ignore collision, allowing you to transverse an obstacle or gain a better position. Don’t forget Skills and Modifiers-- abilities and passive effects that can be equipped to create your build. Skills improve and carry over into successive runs, whereas Modifiers become stronger based on your Focus Level. Customize Your Ascent Toward Destiny The Tower has 50 floors divided into 5 Areas. Each area is unique and introduces new types of enemies. The higher you get in The Tower, the more complex floors will become. Each area has a Shop Floor, where you can spend shards acquired in exchange for health recovery, Skills and Modifiers. Plan accordingly to increase your chance of getting to the top. Overcome the Guardians, Overcome Your Weaknesses Each area ends with a Floor Guardian, a boss battle to truly prove your strategic might. Upon losing all your health, the Warrior will dissipate and lose previously acquired powers, reappearing at the First Floor to start ascending again. However, mastery in Skills will carry over into following runs. Rise again Warrior, and face your destiny. STORY In a world of unflinching order, The Tower is the beacon for lost souls that cannot be assigned to either eternal penitence or the afterlife. Its purpose is to provide lost souls the opportunity to prove their fate by climbing to the very top as a way of peregrinating. Without a clear memory of what happened, you know one thing: You did not prove your worth while alive. Through your first steps in The Tower, you are faced with a mindless beast, a wolf-like creature that looks aggressive and confused. As it rushes to attack you, you find an eerie Scythe and slay the beast where it stood. You feel a strange connection to your memories getting back. The weight of the weapon. The cold decision on how to wield it. There is no doubt: You were a warrior in your past life. Dying as a warrior is nothing strange, but warriors are received in the afterlife with glorious celebrations as they die honorably. Being tested after death could mean that your death wasn’t usual. Your death was without honor. The quickest way to prove your value as a warrior is through combat. And the clearest way to your past is seeking the one that oversees it all, The Tower’s creator. Determined to get your answers, you begin your climb, feeling your bond with your past life strengthening as you battle, searching for your past while fighting for your uncertain future. ","Oct 21, 2021"
Zombie World,"Zombie world A dead city occupied by zombies, upgraded from a bare-handed to a well-equipped, Not only the thrill of shooting to you, combined with the major elements of today's popular games. Story mode: 1.First of all you will play a zombie walk in the zombie team waiting for the opportunity to find a weapon to destroy them in one fell swoop,   Try to act like a zombie or you will find them and eat them. 2. Find jetpack lets you have the ability to fly. 3. Use the flasks to stop the massive attack on the zombies. 4. Rescued the goal. 5. Find the detonator. Features: Abandon the traditional Teleport forward way to enable the traditional mobile more immersive VR immersion Through the code to optimize performance will not allow players to feel dizzy. The first and zombie freehand melee, hesitate to beat them! Original flight jet backpack so that you are in danger scared to fly up! Eye mode let your eyes a long time to play is not tired. ","Jun 1, 2018"
RPG Plus - Virtual Tabletop,"RPG Plus is the all-in-one solution for Tabletop RPG players. Thanks to its campaign manager tool, chat, character sheets, 2D and 3D map builder system, you can: - Create your campaign as a Game Master or join your friends as a player - Design your story by adding rooms (chats, maps, sheets) and selecting your players - Make your map for each adventure using the 3D map maker system, and add setting items and miniatures for the characters - Use advanced 3D dynamic lighting on the map - Keep track of the initiative and who can move with an intuitive turn manager - Upload and share an image to create 2D Maps - Upload 2D images or 3D models (.stl files) to create custom 3D tokens - Interact with the other players via chat: posting messages, rolling dice, sending stickers, and sharing links - Record your character's features in a digital sheet. You can select an advanced template for pathfinder 2nd edition and D&amp;D 5th edition, or a simple and flexible table system - Enjoy the flexibility of a fully cross-platform with a similar experience in both mobile and desktop versions - Access to a simple schematic How To guide for the different panels. Thanks to its customizable design, RPG Plus can be used for any of your favorite RPGs. Fans of Pathfinder and D&amp;D can enjoy a library of specific character sheet templates and characteristic miniatures, and many more features and graphic elements are uploaded periodically. The 3D map includes almost 700 high-quality tokens . In addition, you can create your token library using 2D images or upload 3D models as STL files. The 3D map also includes: - an advanced and realistic dynamic lighting system - 68 special light effects - 18 types of walls - a flexible multi-level system - 118 grid textures - a simple 3D distance measuring system And much more! Escape Flatland! Add a new dimension to your virtual tabletop encounters with RPG Plus!","Feb 14, 2024"
Bad North: Jotunn Edition,"Position and relocate your troops to fend off the Vikings, who each have their own counters to the threats you pose. Pick your battles and plan your evacuations carefully! Lose a commander and they’re gone forever; lose everything, and it’s game over! You command the broad strokes of your defenses and monitor positioning — your soldiers do the rest, navigating and engaging intuitively in response to the situation at hand. Each island is both stylistically charming and unique in its layout. Plan your strategies around every nook and cranny, for you only get one chance to save them from the enemy invasion. A stronger, smarter defense leads to greater rewards. Use these to develop your subjects from a ragtag militia into seasoned warriors. Your home is under attack. The king is dead at the hands of Viking invaders. Hope is a distant glimmer in the fog, fading fast with every passing moment. As you rise to take your father’s place as ruler, it will fall to you to stage your defenses. But make no mistake – this is no fight for victory, but a desperate grasp for survival. Bad North is a charming but brutal real-time tactics roguelite. Defend your idyllic island kingdom against a horde of Viking invaders, as you lead the desperate exodus of your people. Command your loyal subjects to take full tactical advantage of the unique shape of each island. Everything is at stake: fail, and watch the blood of your subjects stain the ground red. It’s charmingly brutal, with beautiful procedurally-generated islands and adorable soldiers juxtaposed against the blood-stained realities of war. You control the broad strokes of the battle, giving high level commands to your soldiers who try their best to carry them out in the heat of the moment. It’s accessibly deep, with simple player inputs masking a dynamic combat simulation that make it inviting to new players while challenging veterans. Keep fighting, warriors. Not for power or riches or glory, but for hope of peace to come once again in the harsh lands of the Bad North .","Nov 16, 2018"
Lucky Night: Texas Hold'em VR,"Server closing of Lucky Night To all the players of Lucky Night, As we are going to improve the quality of our product, we have decided to stop selling and close down Lucky Night on Steam since November 5, 2020. We would like to thank you for your support and loyalty to Lucky Night in the last months. We hope you keep following the pages to know what’s new about the games. ATC Games ","Jul 26, 2017"
They Yearn For The Mines,"In this fast-paced adventure / action game you steer and navigate your way through many different types of Mines each with a different mode! Equip your Goblins with Swag from their Rucksacks so they can enter the Mine with Style whether they come back or not! Discover Stories to read about the Mines and the history and events that have happened there through finding pages about the Goblorepedia! Enter special challenge Mines to obtain Steam Achievements however there is nothing easy about these Mines! ➊ 90 Levels through 3 different Mines! ➋ Different Modes in all the Mines! ➌ Multitude of Pickaxes to equip your Goblins with! ➍Lots of Safety Helmets for your Goblins to wear in the Mine! ➎Unlock entries &amp; read the Goblorepedia a book of stories about the Goblins and the Mines! ➏Finish special Mine challenges for Steam achievments! Right now They Yearn For The Mines can easily be picked up by anyone and I don't plan on making it complicated so every person no matter who it is will always have fun! Even if you don't get much time to play They Yearn For The Mines you will always be able to eventually get all of the Mine levels and Goblorepedia Entries unlocked without having to grind the game like no tomorrow! For those that want a harder challenge however and enjoy the game will be able to do the 'Special Challenge Mineshafts' of Mines leading to Steam Achievments but warning some of these will be rough and fury inducing! The Goblins will always have a Future! ➊ More Mines atleast 3 each with atleast 30 levels! ➋ Holiday event Mines that have Holiday Cosmetics! ➌ Many more Pickaxes &amp; Safety Helmets to wear! ➍ Extended Goblorepedia entries for those lore readers! ➎ Add more levels to each Mine! ➏ New types of Rucksack Swag to wear! (Trails, Capes, Pets) ➐ Lots of Challenge levels with more Steam Achievments! To each and every one of you that has a go at They Yearn For The Mines thank you and I hope there is some good feedback, I appreciate you all this is my first ever Steam release of a game and is exciting but also scary just knowing how games can be recieved. As an indie dev and a new one I know I cant have the most polished and beautiful work of art but lets hope in the future and with you guys help They Yearn For The Mines can turn into an amazing fun game with countless things to do while you spend your time in it I will definetly be actively updating for the foreseeable future! ","Dec 4, 2024"
Zooblies,"Meet Dood, a 30-year-old slightly balding man trying to navigate the challenges of a physics-based life. Enter, stage left: Zooblies. A strange and plethoric (in both senses of the word) species of creatures whose sole purpose is to be in the way of our protagonist’s goal: a (possibly metaphorical) path through a series of dark dungeons and out into the light. Learn the ways (rules) of the world (game) and help Dood achieve personal growth and realization!!! K but it’s a physics-based puzzle platformer where each type of Zooblie has its own behavior. When Dood moves, time moves. When Dood stops, time stops, and you as the player-god-emperor can drag and rotate blue things (but only blue things ) into whatever mise-en-scene pleases your divine (?) sensibilities. Help Dood reach the exit in over 50 levels! Encounter all X types of Zooblies! ¡Collect todas las estrellas for a challenge especial! Watch as Dood busts some righteous dance moves! Help a Dood out, will ya?💖","Jan 16, 2023"
COGEN: Sword of Rewind / COGEN: 大鳥こはくと刻の剣,"■Defy Death by Rewinding Time! Any hit you take is a death sentence in this side-scrolling 2D action game. But fear not! You may lack the HP to weather a beating, but you've got the Ouroboros System on your side. This futuristic technology kicks in the instant death embraces you and allows you to rewind up to 3 seconds of time. Slip up and wish you could take it back? Want to play around and experiment? Easy, just rewind the clock! Hone your skills through trial and error, and triumph over diabolical traps and legions of fearsome foes! ■Story Awakening to find herself sprawled on a floor of hard steel, the first thing that greets Kohaku's eyes is a strange talking sword named ExeBreaker. Unsure of where she is or what's going on, she agrees to this sardonic sword's proposal to join forces, and together they journey deep into the heart of a transformed Cogen City—once Kohaku's home, now a collapsing ruin. Both mystery and mayhem await her, but with the power of ExeBreaker's Ouroboros System on her side, nothing will stop her from discovering the truth of what happened to her beloved home. ■Cast / Staff Kohaku Otori: Asuka Kakumoto ExeBreaker: Taito Ban Akasha: Asuka Kakumoto Hugo: Hiroshi Watanabe Yuji Otori: Koji Seki Mimori Otori: Marie Miyake Composer: Motoi Sakuraba Character Designs: ntny","Jan 26, 2022"
DrumKit VR - Play drum kit in the world of VR," DrumKit VR ' is a VR game lets you play drum kit in VR world. Currently support HTC Vive. Components ———————— - Bass Drum 22in - Hi-Hat 14in - Floor Tom 14in - Crash Cymbal 18in - Snare Drum 14in - Tom-Tom 13in &amp; 16in - Splash Cymbal 12in - Ride Cymbal 20in - China Cymbal 20in Play ———————— Two Vive handles are equivalent to drumsticks. Pull the left trigger to make Hi-Hat Open-Closed. Pull the right trigger to make a hit on Bass Drum. It's that simple! Next Version ———————— Custom sound available. CAUTION ———————— Make sure there are no obstructions within the scope of activities or other people, especially children.","Jul 8, 2016"
Wizard Shrimp,"Wizard Shrimp™ is a bullet-hell, roguelite game where you play as a Shrimp who is inexplicably also a Wizard?! Battle your way out of a slimy swamp, escape amethyst caves, before climbing the Mushroom Wizard's Tower to defeat the final boss. Collect upgrades and power ups along your quest to become the most powerful Shrimp this world has ever seen! Gain Krill points to power up your Shrimp and take on the game at harder difficulties in the Cauldron! Pixel art graphics are accompanied by a modern soundtrack that mixes digital and analogue sounds, embracing naturalistic samples. Choose your own path out of each area with a unique randomly generated tile system. Leverage your tiles to your tactical advantage by putting a campfire after an enemy encounter. Or say 'f*** it' and put down only enemy tiles up until the boss, gaining the most amount of power possible but with a higher risk of death! ","Dec 13, 2024"
